pmid,score,title,date,journal,pubtype,abstract,chemicals,topics,keywords,meshterms
35563416,8.24970346042825,PPARs as Key Mediators in the Regulation of Metabolism and Inflammation.,17-05-2022,International journal of molecular sciences,Editorial,"Nuclear receptors (NRs) form a large family of ligand-dependent transcription factors that control the expression of a multitude of genes involved in diverse, vital biological processes [...].","Peroxisome Proliferator-Activated Receptors,Receptors, Cytoplasmic and Nuclear,Transcription Factors",,,"Humans,Inflammation,Lipid Metabolism,Peroxisome Proliferator-Activated Receptors,Receptors, Cytoplasmic and Nuclear,Transcription Factors"
35562914,8.243869272687773,Organophosphorus Pesticides as Modulating Substances of Inflammation through the Cholinergic Pathway.,17-05-2022,International journal of molecular sciences,"Journal Article,Review","Organophosphorus pesticides (OPs) are widespread insecticides used for pest control in agricultural activities and the control of the vectors of human and animal diseases. However, OPs' neurotoxic mechanism involves cholinergic components, which, beyond being involved in the transmission of neuronal signals, also influence the activity of cytokines and other pro-inflammatory molecules; thus, acute and chronic exposure to OPs may be related to the development of chronic degenerative pathologies and other inflammatory diseases. The present article reviews and discusses the experimental evidence linking inflammatory process with OP-induced cholinergic dysregulation, emphasizing the molecular mechanisms related to the role of cytokines and cellular alterations in humans and other animal models, and possible therapeutic targets to inhibit inflammation.","Cholinergic Agents,Cytokines,Organophosphorus Compounds,Pesticides",,"cholinergic system,inflammation,organophosphorus pesticides","Animals,Cholinergic Agents,Cytokines,Inflammation,Organophosphorus Compounds,Pesticides"
36325303,8.241260653141264,Life Course Impact of Glucocorticoids During Pregnancy on Muscle Development and Function.,04-11-2022,Frontiers in animal science,Journal Article,"Maternal stress, such as maternal obesity, can induce severe gestational disease and hormonal disorder which may disrupt fetal organ maturation and further cause endangered early or future health in offspring. During fetal development, glucocorticoids are essential for the maturation of organ systems. For instance, in clinical applications, glucocorticoids are commonly utilized to pregnant women with the risk of preterm delivery to reduce mortality of the newborns. However, exposure of excessive glucocorticoids at embryonic and fetal developmental stages can cause diseases such as cardiovascular disease and muscle atrophy in adulthood. Effects of excessive glucocorticoids on human health are well-recognized and extensively studied. Nonetheless, effects of these hormones on farm animal growth and development, particularly on prenatal muscle development, and postnatal growth, did not attract much attention until the last decade. Here, we provided a short review of the recent progress relating to the effect of glucocorticoids on prenatal skeletal muscle development and postnatal muscle growth as well as heart muscle development and cardiovascular disease during life course.",,,"cardiovascular disease,fetal programming,glucocorticoids,maternal stress,muscle development",
36280076,8.240819596276271,Enantioselectivity in the toxicological effects of chiral pesticides: A review.,30-11-2022,The Science of the total environment,"Journal Article,Review","As a special category of pesticides, chiral pesticides have increased the difficulty in investigating pesticide toxicity. Based on their usage, chiral pesticides can be divided into insecticides, herbicides, and fungicides. Over the past decades, great efforts have been made on elucidating their toxicological effects. However, no literature has reviewed the enantioselective toxicity of chiral pesticides since 2014. In recent years, more chiral pesticides have been registered for application. As such, huge research progresses have been achieved in enantioselective toxicity of chiral pesticides. Generally, more researches have remedied the knowledge gap in toxicological effects of old and new chiral pesticides. And the toxicological endpoints being evaluated have become more specific rather than centering on basic toxicity and target organisms. Besides, the underlying mechanisms accounting for the enantioselectivity in toxicological effects of chiral pesticides have been discussed as well. All in all, this review provides the critical knowledge for risk assessments, and help to drive the green-technology of single- or enriched-enantiomer pesticides and formulation of relevant laws and regulations.","Pesticides,Herbicides,Fungicides, Industrial,Insecticides",,"Chiral pesticides,Enantioselectivity,Isomers,Toxicological effects","Pesticides,Herbicides,Stereoisomerism,Fungicides, Industrial,Insecticides"
35757000,8.236943459788321,Epigenetic Regulation of Inflammatory Signaling and Inflammation-Induced Cancer.,16-07-2022,Frontiers in cell and developmental biology,"Journal Article,Review","Epigenetics comprise a diverse array of reversible and dynamic modifications to the cell's genome without implicating any DNA sequence alterations. Both the external environment surrounding the organism, as well as the internal microenvironment of cells and tissues, contribute to these epigenetic processes that play critical roles in cell fate specification and organismal development. On the other hand, dysregulation of epigenetic activities can initiate and sustain carcinogenesis, which is often augmented by inflammation. Chronic inflammation, one of the major hallmarks of cancer, stems from proinflammatory cytokines that are secreted by tumor and tumor-associated cells in the tumor microenvironment. At the same time, inflammatory signaling can establish positive and negative feedback circuits with chromatin to modulate changes in the global epigenetic landscape. In this review, we provide an in-depth discussion of the interconnected crosstalk between epigenetics and inflammation, specifically how epigenetic mechanisms at different hierarchical levels of the genome control inflammatory gene transcription, which in turn enact changes within the cell's epigenomic profile, especially in the context of inflammation-induced cancer.",,,"cancer,epigenetics,high-order genome organization,histone modifications,inflammation,senescence,super-enhancer",
35563062,8.23423981554308,Epigenetic Inheritance: Intergenerational Effects of Pesticides and Other Endocrine Disruptors on Cancer Development.,17-05-2022,International journal of molecular sciences,"Journal Article,Review","Parental environmental experiences affect disease susceptibility in the progeny through epigenetic inheritance. Pesticides are substances or mixtures of chemicals-some of which are persistent environmental pollutants-that are used to control pests. This review explores the evidence linking parental exposure to pesticides and endocrine disruptors to intergenerational and transgenerational susceptibility of cancer in population studies and animal models. We also discuss the impact of pesticides and other endocrine disruptors on the germline epigenome as well as the emerging evidence for how epigenetic information is transmitted between generations. Finally, we discuss the importance of this mode of inheritance in the context of cancer prevention and the challenges ahead.","Endocrine Disruptors,Pesticides",,"environment,epigenetic inheritance,intergenerational transmission,pediatric and adult cancer,pesticide","Animals,DNA Methylation,Endocrine Disruptors,Epigenesis, Genetic,Inheritance Patterns,Neoplasms,Pesticides"
35704694,8.220949360250966,Role of androgens and androgen receptor in control of mitochondrial function.,08-09-2022,American journal of physiology. Cell physiology,"Journal Article,Review","The effects of androgens have been extensively studied in a variety of organs and cell types with an increasing focus on the sexually dimorphic role androgens play not only with respect to cellular functions but also in metabolism. Although the classical mechanism of androgen action is via ligand-dependent binding with the nuclear transcription factor, androgen receptor (AR), cytosolic AR can also activate second messenger signaling pathways. Given that cytosolic AR can signal in this manner, there has been increased interest in the mechanisms by which androgens may control cellular organelle function. This review highlights the effects that androgens have on mitochondrial structure and function with emphasis on biogenesis, fusion/fission, mitophagy, bioenergetics (oxidative phosphorylation), and reactive oxygen species production. There are a number of publications on the effects of androgens in these general areas of mitochondrial function. However, the precise mechanisms by which androgens cause these effects are not known. In addition, given that the nucleus and mitochondria work in tandem to control mitochondrial function and the mitochondria have their own DNA, future research efforts should focus on the direct, mechanistic effects of androgens on mitochondrial function.","Androgens,Receptors, Androgen",,"androgen receptor,androgens,mitochondria,oxidative phosphorylation,testosterone","Androgens,Mitochondria,Oxidative Phosphorylation,Receptors, Androgen,Signal Transduction"
36107286,8.214309571781044,Impact of hypoxia on male reproductive functions.,15-09-2022,Molecular and cellular biochemistry,"Journal Article,Review","Male reproductive functions, which include testicular steroidogenesis, spermatogenesis, and sexual/erectile functions are key in male fertility, but may be adversely altered by several factors, including hypoxia. This review demonstrates the impact of hypoxia on male reproductive functions. Acute exposure to hypoxia promotes testosterone production via stimulation of autophagy and upregulation of steroidogenic enzymes and voltage-gated L-type calcium channel, nonetheless, chronic exposure to hypoxia impairs steroidogenesis via suppression of the hypothalamic-pituitary-testicular axis. Also, hypoxia distorts spermatogenesis and reduces sperm count, motility, and normal forms via upregulation of VEGF and oxidative stress-sensitive signaling. Furthermore, hypoxia induces sexual and erectile dysfunction via a testosterone-dependent downregulation of NO/cGMP signaling and upregulation of PGE1/TGFβ1-driven penile endothelial dysfunction. Notably, hypoxia programs male sexual function and spermatogenesis/sperm quality via feminization and demasculinization of males and oxidative stress-mediated alteration in sperm DNA methylation. Since oxidative stress plays a central role in hypoxia-induced male reproductive dysfunction, studies exploring the effects of antioxidants and upregulation of transcription of antioxidants on hypoxia-induced male reproductive dysfunction are recommended.",,,"Epigenetics,Erectile function,Hypoxia,Sexual function,Spermatogenesis,Steroidogenesis",
35781222,8.210778455272761,Pesticides Exposure-Induced Changes in Brain Metabolome: Implications in the Pathogenesis of Neurodegenerative Disorders.,29-09-2022,Neurotoxicity research,"Journal Article,Review","Pesticides have been used in agriculture, public health programs, and pharmaceuticals for many decades. Though pesticides primarily target pests by affecting their nervous system and causing other lethal effects, these chemical entities also exert toxic effects in inadvertently exposed humans through inhalation or ingestion. Mounting pieces of evidence from cellular, animal, and clinical studies indicate that pesticide-exposed models display metabolite alterations of pathways involved in neurodegenerative diseases. Hence, identifying common key metabolites/metabolic pathways between pesticide-induced metabolic reprogramming and neurodegenerative diseases is necessary to understand the etiology of pesticides in the rise of neurodegenerative disorders. The present review provides an overview of specific metabolic pathways, including tryptophan metabolism, glutathione metabolism, dopamine metabolism, energy metabolism, mitochondrial dysfunction, fatty acids, and lipid metabolism that are specifically altered in response to pesticides. Furthermore, we discuss how these metabolite alterations are linked to the pathogenesis of neurodegenerative diseases and to identify novel biomarkers for targeted therapeutic approaches.","Biomarkers,Fatty Acids,Pesticides,Tryptophan,Glutathione,Dopamine",,"Brain,Metabolites,Neurodegenerative disorders,Neurotoxicity,Organophosphate,Pesticides","Animals,Biomarkers,Brain,Dopamine,Fatty Acids,Glutathione,Humans,Metabolome,Neurodegenerative Diseases,Pesticides,Tryptophan"
36139114,8.20189749635037,The Regulators of Human Endometrial Stromal Cell Decidualization.,26-09-2022,Biomolecules,"Journal Article,Review,Research Support, Non-U.S. Gov't","Several factors are important for implantation and subsequent placentation in the endometrium, including immunity, angiogenesis, extracellular matrix, glucose metabolism, reactive oxidative stress, and hormones. The involvement or abnormality of these factors can impair canonical decidualization. Unusual decidualization can lead to perinatal complications, such as disruption of trophoblast invasion. Drastic changes in the morphology and function of human endometrial stromal cells (hESCs) are important for decidualization of the human endometrium; hESCs are used to induce optimal morphological and functional decidualization in vitro because they contain estrogen and progesterone receptors. In this review, we will focus on the studies that have been conducted on hESC decidualization, including the results from our laboratory.","Estrogens,Receptors, Progesterone,Glucose",,"decidualization,endometrium,human endometrial stromal cells,progesterone","Cells, Cultured,Decidua,Estrogens,Female,Glucose,Humans,Pregnancy,Receptors, Progesterone,Stromal Cells"
35740933,8.196704963504873,Emerging Circulating Biomarkers in Atherosclerosis: From Molecular Mechanisms to Therapeutic Strategies.,27-06-2022,Biomolecules,Editorial,"Atherosclerosis is a long-term damaging process, and its progression leads to cardiovascular system injury [...].",Biomarkers,,,"Atherosclerosis,Biomarkers,Cardiovascular Diseases,Humans,Risk Factors"
36182970,8.191520693970581,Neurotransmitter signaling: a new frontier in colorectal cancer biology and treatment.,25-10-2022,Oncogene,"Journal Article,Review,Research Support, N.I.H., Extramural,Research Support, Non-U.S. Gov't","The brain-gut axis, a bidirectional network between the central and enteric nervous system, plays a critical role in modulating the gastrointestinal tract function and homeostasis. Recently, increasing evidence suggests that neuronal signaling molecules can promote gastrointestinal cancers, however, the mechanisms remain unclear. Aberrant expression of neurotransmitter signaling genes in colorectal cancer supports the role of neurotransmitters to stimulate tumor growth and metastatic spread by promoting cell proliferation, migration, invasion, and angiogenesis. In addition, neurotransmitters can interact with immune and endothelial cells in the tumor microenvironment to promote inflammation and tumor progression. As such, pharmacological targeting of neurotransmitter signaling represent a promising novel anticancer approach. Here, we present an overview of the current evidence supporting the role of neurotransmitters in colorectal cancer biology and treatment.",Neurotransmitter Agents,,,"Humans,Endothelial Cells,Neurotransmitter Agents,Gastrointestinal Neoplasms,Colorectal Neoplasms,Biology,Tumor Microenvironment"
36120592,8.177778852954276,Role of Iron-Related Oxidative Stress and Mitochondrial Dysfunction in Cardiovascular Diseases.,20-09-2022,Oxidative medicine and cellular longevity,"Journal Article,Review","Iron is indispensable in numerous biologic processes, but abnormal iron regulation and accumulation is related to pathological processes in cardiovascular diseases. However, the underlying mechanisms still need to be further explored. Iron plays a key role in metal-catalyzed oxidative reactions that generate reactive oxygen species (ROS), which can cause oxidative stress. As the center for oxygen and iron utilization, mitochondria are vulnerable to damage from iron-induced oxidative stress and participate in processes involved in iron-related damage in cardiovascular disease, although the mechanism remains unclear. In this review, the pathological roles of iron-related oxidative stress in cardiovascular diseases are summarized, and the potential effects and mechanisms of mitochondrial iron homeostasis and dysfunction in these diseases are especially highlighted.","Biological Products,Reactive Oxygen Species,Iron,Oxygen",,,"Biological Products,Cardiovascular Diseases,Humans,Iron,Mitochondria,Oxidative Stress,Oxygen,Reactive Oxygen Species"
36258973,8.175110167756673,Stress-Induced Diabetes: A Review.,20-10-2022,Cureus,"Journal Article,Review","It has long been established that stress has a significant impact on metabolic function. Type 2 diabetes may be initiated by psychological and physical stress. The central and peripheral nervous systems are both involved in the neuroendocrine framework that underlies the underlying processes. The release of catecholamines and a rise in serum glucocorticoid concentrations caused by psychological stress enhance the requirement for insulin and insulin resistance. Experiencing persistent hyperglycemia in people with diabetes may be influenced by stress. Blood sugar levels may rise due to hormones being released in response to stress. Although this has adaptive significance in a healthy patient, in the long run, it can cause insulin resistance and lead to diabetes. Additionally, diabetes may cause abnormalities in the regulation of these stress hormones.",,,"blood sugar,diabetes,diabetes mellitus type 2,glucocorticoid,hyperglycemia,insulin resistance,stress",
35956024,8.172813749151517,"Functional Implications of Estrogen and Progesterone Receptors Expression in Adenomyosis, Potential Targets for Endocrinological Therapy.",15-08-2022,Journal of clinical medicine,Journal Article,"Adenomyosis is a common gynaecological disease associated with the presence of endometrial lesions in the uterine myometrium. Estrogens have been proven to be the crucial hormones driving the growth of adenomyosis. Little is known about the distinct mechanisms of progesterone action in adenomyosis. Hence, in this study, we decided to characterize the expression of all nuclear and membrane estrogen and progesterone receptors. Additionally, as a functional investigation, we monitored prolactin production and cell proliferation after estradiol and progesterone treatments. We confirmed the presence of all nuclear and membrane estrogen and progesterone receptors in adenomyotic lesions at gene and protein levels. The expression of membrane progesterone receptors α and β (mPRα, mPRβ) as well as estrogen receptor β (ERβ) was upregulated in adenomyosis compared to normal myometrium. Estradiol significantly increased adenomyotic cell proliferation. Progesterone and cAMP upregulated prolactin secretion in adenomyosis in the same pattern as in the normal endometrium. In the present study, we showed the functional link between estradiol action and adenomyotic cell proliferation, as well as progesterone and prolactin production. Our findings provide novel insights into the sex steroid receptor expression pattern and potential regulated pathways in adenomyosis, suggesting that all receptors play an important role in adenomyosis pathophysiology.",,,"adenomyosis,aromatase,estrogen receptors,progesterone receptors,prolactin,sex steroids",
35799889,8.171314964648849,Reactive Oxygen Species Bridge the Gap between Chronic Inflammation and Tumor Development.,11-07-2022,Oxidative medicine and cellular longevity,"Journal Article,Review","According to numerous animal studies, adverse environmental stimuli, including physical, chemical, and biological factors, can cause low-grade chronic inflammation and subsequent tumor development. Human epidemiological evidence has confirmed the close relationship between chronic inflammation and tumorigenesis. However, the mechanisms driving the development of persistent inflammation toward tumorigenesis remain unclear. In this study, we assess the potential role of reactive oxygen species (ROS) and associated mechanisms in modulating inflammation-induced tumorigenesis. Recent reports have emphasized the cross-talk between oxidative stress and inflammation in many pathological processes. Exposure to carcinogenic environmental hazards may lead to oxidative damage, which further stimulates the infiltration of various types of inflammatory cells. In turn, increased cytokine and chemokine release from inflammatory cells promotes ROS production in chronic lesions, even in the absence of hazardous stimuli. Moreover, ROS not only cause DNA damage but also participate in cell proliferation, differentiation, and apoptosis by modulating several transcription factors and signaling pathways. We summarize how changes in the redox state can trigger the development of chronic inflammatory lesions into tumors. Generally, cancer cells require an appropriate inflammatory microenvironment to support their growth, spread, and metastasis, and ROS may provide the necessary catalyst for inflammation-driven cancer. In conclusion, ROS bridge the gap between chronic inflammation and tumor development; therefore, targeting ROS and inflammation represents a new avenue for the prevention and treatment of cancer.",Reactive Oxygen Species,,,"Animals,Carcinogenesis,Cell Transformation, Neoplastic,Inflammation,Neoplasms,Oxidative Stress,Reactive Oxygen Species,Tumor Microenvironment"
35569553,8.168993829790267,Mitochondrial metabolism mediated macrophage polarization in chronic lung diseases.,08-11-2022,Pharmacology & therapeutics,"Journal Article,Review,Research Support, Non-U.S. Gov't","As the first line of defence in the lung, alveolar macrophage contributes to maintaining lung immune homoeostasis. Characterized by the heterogeneity and plasticity, macrophages polarize into two pro-inflammatory and anti-inflammatory phenotypes regarding the biological and pathological environment. In the past decade, numerous studies have revolutionized the relationship between cellular metabolism and macrophage functions. Mitochondria dysfunctions, which results in altered cellular metabolic profile, were observed in the alveolar macrophages during chronic lung diseases. In addition, alveolar macrophages adapt metabolic reprogramming to produce an immune response against the pathogens. Here, we outline the role of mitochondria in the development of macrophage phenotypes and functions and highlight the mitochondrial dysfunction in the setting of chronic lung diseases. Lastly, we emphasize the therapeutic relevance of targeting metabolic pathways in alveolar macrophages, which may shed light on developing novel strategies against chronic lung diseases.",,,"Chronic lung disease,Macrophage,Macrophage polarization,Metabolic reprogramming,Mitochondria metabolism","Humans,Macrophages,Lung Diseases,Macrophages, Alveolar,Mitochondria,Lung"
35623561,8.160776449186143,Mitochondria transfer and transplantation in human health and diseases.,26-07-2022,Mitochondrion,"Journal Article,Review,Research Support, Non-U.S. Gov't","Mitochondria are dynamic organelles responsible for energy production and cell metabolism. Disorders in mitochondrial function impair tissue integrity and have been implicated in multiple human diseases. Rather than constrained in host cells, mitochondria were recently found to actively travel between cells through nanotubes or extracellular vesicles. Mitochondria transportation represents a key mechanism of intercellular communication implicated in metabolic homeostasis, immune response, and stress signaling. Here we reviewed recent progress in mitochondria transfer under physiological and pathological conditions. Specifically, tumor cells imported mitochondria from adjacent cells in the microenvironment which potentially modulated cancer progression. Intercellular mitochondria trafficking also inspired therapeutic intervention of human diseases with mitochondria transplantation. Artificial mitochondria, generated through mitochondria genome engineering or mitochondria-nucleus hybridization, further advanced our understanding of mitochondrial biology and its therapeutic potential. Innovative tools and animal models of mitochondria transplantation will assist the development of new therapies for mitochondrial dysfunction-related diseases.",,,"Artificial mitochondria,Intercellular nanotube,Microvesicle,Mitochondria genome editing,Mitochondria transfer,Mitochondria transplantation,Synthetic biology","Animals,Cell Communication,Genome, Mitochondrial,Homeostasis,Humans,Mitochondria,Mitochondrial Diseases"
36361713,8.159021230862056,Mitochondrial Dysfunction as an Underlying Cause of Skeletal Muscle Disorders.,14-11-2022,International journal of molecular sciences,"Journal Article,Review","{'sup': '2+', '#text': 'Mitochondria are an important energy source in skeletal muscle. A main function of mitochondria is the generation of ATP for energy through oxidative phosphorylation (OXPHOS). Mitochondrial defects or abnormalities can lead to muscle disease or multisystem disease. Mitochondrial dysfunction can be caused by defective mitochondrial OXPHOS, mtDNA mutations, Ca imbalances, mitochondrial-related proteins, mitochondrial chaperone proteins, and ultrastructural defects. In addition, an imbalance between mitochondrial fusion and fission, lysosomal dysfunction due to insufficient biosynthesis, and/or defects in mitophagy can result in mitochondrial damage. In this review, we explore the association between impaired mitochondrial function and skeletal muscle disorders. Furthermore, we emphasize the need for more research to determine the specific clinical benefits of mitochondrial therapy in the treatment of skeletal muscle disorders.'}","Mitochondrial Proteins,DNA, Mitochondrial",,"OXPHOS,mitochondrial chaperone protein,mitochondrial dynamics,mitochondrial dysfunction,mitophagy,mtDNA mutation,skeletal muscle disorders","Humans,Mitochondria,Oxidative Phosphorylation,Mitophagy,Mitochondrial Dynamics,Muscular Diseases,Muscle, Skeletal,Mitochondrial Proteins,DNA, Mitochondrial"
36465608,8.150891065249743,A role for steroid 5 alpha-reductase 1 in vascular remodeling during endometrial decidualization.,06-12-2022,Frontiers in endocrinology,Journal Article,"{'i': ['via', 'in vitro', 'in vivo', 'Srd5a1-/-', 'Srd5a1-/-', 'in vivo'], '#text': 'Decidualization is the hormone-dependent process of endometrial remodeling that is essential for fertility and reproductive health. It is characterized by dynamic changes in the endometrial stromal compartment including differentiation of fibroblasts, immune cell trafficking and vascular remodeling. Deficits in decidualization are implicated in disorders of pregnancy such as implantation failure, intra-uterine growth restriction, and pre-eclampsia. Androgens are key regulators of decidualization that promote optimal differentiation of stromal fibroblasts and activation of downstream signaling pathways required for endometrial remodeling. We have shown that androgen biosynthesis,  5α-reductase-dependent production of dihydrotestosterone, is required for optimal decidualization of human stromal fibroblasts , but whether this is required for decidualization  has not been tested. In the current study we used steroid 5α-reductase type 1 (SRD5A1) deficient mice ( mice) and a validated model of induced decidualization to investigate the role of SRD5A1 and intracrine androgen signaling in endometrial decidualization. We measured decidualization response (weight/proportion), transcriptomic changes, and morphological and functional parameters of vascular development. These investigations revealed a striking effect of 5α-reductase deficiency on the decidualization response. Furthermore, vessel permeability and transcriptional regulation of angiogenesis signaling pathways, particularly those that involved vascular endothelial growth factor (VEGF), were disrupted in the absence of 5α-reductase. In  mice, injection of dihydrotestosterone co-incident with decidualization restored decidualization responses, vessel permeability, and expression of angiogenesis genes to wild type levels. Androgen availability declines with age which may contribute to age-related risk of pregnancy disorders. These findings show that intracrine androgen signaling is required for optimal decidualization  and confirm a major role for androgens in the development of the vasculature during decidualization through regulation of the VEGF pathway. These findings highlight new opportunities for improving age-related deficits in fertility and pregnancy health by targeting androgen-dependent signaling in the endometrium.'}","Cholestenone 5 alpha-Reductase,Vascular Endothelial Growth Factor A,Dihydrotestosterone,Androgens",,"5 alpha-reductase,androgen,angiogenesis,decidualization,dihydrotestosterone,finasteride,intracrinology,vascular remodeling","Female,Pregnancy,Humans,Mice,Animals,Vascular Remodeling,Cholestenone 5 alpha-Reductase,Vascular Endothelial Growth Factor A,Dihydrotestosterone,Androgens,Endometrium"
35737047,8.143033523001845,Research Progress of Safety of Zearalenone: A Review.,27-06-2022,Toxins,"Journal Article,Review,Research Support, Non-U.S. Gov't","{'i': 'Fusarium', '#text': 'Zearalenone, a mycotoxin produced by fungi of the genus , widely exists in animal feed and human food. The structure of zearalenone is similar to estrogen, so it mainly has estrogenic effects on various organisms. Products contaminated with zearalenone can pose risks to animals and humans. Therefore, it is imperative to carry out toxicological research on zearalenone and evaluate its risk to human health. This paper briefly introduces the production, physical, and chemical properties of zearalenone and the research progress of its toxicity kinetics, focusing on its genetic toxicity, reproductive toxicity, hepatotoxicity, immunotoxicity, carcinogenicity, endocrine interference, and its impact on intestinal health. Finally, the progress of the risk assessment of human exposure is summarized to provide a reference for the follow-up study of zearalenone.'}","Mycotoxins,Zearalenone",,"endocrine interference,intestinal health,mycotoxin,risk assessment,toxicity,zearalenone","Animal Feed,Animals,Follow-Up Studies,Food Contamination,Fusarium,Mycotoxins,Zearalenone"
35565281,8.141726152713142,"Tumor Microenvironment in Mixed Neuroendocrine Non-Neuroendocrine Neoplasms: Interaction between Tumors and Immune Cells, and Potential Effects of Neuroendocrine Differentiation on the Tumor Microenvironment.",16-07-2022,Cancers,Journal Article,"{'i': ['p', 'p', 'p', 'p'], '#text': 'The tumor microenvironment is considered to play a pivotal role in various human malignancies. Neuroendocrine and non-neuroendocrine neoplasms are considered to have different tumor microenvironments. However, owing to differences in the systemic and/or local immune statuses, tumor microenvironments in different patients may be difficult to compare. Mixed neuroendocrine non-neuroendocrine neoplasms (MiNENs), although rare, could be useful for exploring the effects of neuroendocrine differentiation on the tumor microenvironment, because both neuroendocrine and non-neuroendocrine components are present in the same tumor. Here, we examined 33 cases of histologically confirmed MiNENs and evaluated the influence of neuroendocrine differentiation on the tumor microenvironment by comparing tumor-infiltrating lymphocytes, tumor-associated macrophages, and other relevant factors in the two components the same tumor. The immunoreactivity of those examined above was evaluated quantitatively. The values of vasohibin-1-positive density ( &lt; 0.0001) and immunoreactivity ( &lt; 0.0001) (representing the neoangiogenesis status) were significantly higher in neuroendocrine as compared to non-neuroendocrine areas of the same tumors. In addition, the Foxp3/CD8 ( = 0.0717) and the PD-1/CD8 ratios ( = 0.0176) (representing tumor immunity suppression) tend to increase in neuroendocrine carcinomas. Immunoreactivity of CD163, a marker of M2-like macrophages, was also higher in the neuroendocrine areas. Our findings indicate that neuroendocrine and non-neuroendocrine tumors differ from each other with respect to the characteristics of both tumor cells and the tumor microenvironment.'}",,,"angiogenesis,immune suppression,mixed neuroendocrine non-neuroendocrine neoplasms,neuroendocrine differentiation,tumor infiltrating lymphocyte,tumor microenvironment",
35987711,8.132335885770718,Mesenchymal stem cells and their microenvironment.,23-08-2022,Stem cell research & therapy,"Journal Article,Review,Research Support, Non-U.S. Gov't","Mesenchymal stem cells (MSCs), coming from a wide range of sources, have multi-directional differentiation ability. MSCs play vital roles in immunomodulation, hematopoiesis and tissue repair. The microenvironment of cells often refers to the intercellular matrix, other cells, cytokines and humoral components. It is also the place for cells' interaction. The stability of the microenvironment is pivotal for maintaining cell proliferation, differentiation, metabolism and functional activities. Abnormal changes in microenvironment components can interfere cell functions. In some diseases, MSCs can interact with the microenvironment and accelerate disease progression. This review will discuss the characteristics of MSCs and their microenvironment, as well as the interaction between MSCs and microenvironment in disease.",,,"Immunomodulation,Mesenchymal stem cells,Microenvironment,Tissue regeneration","Cell Differentiation,Cell Proliferation,Hematopoiesis,Immunomodulation,Mesenchymal Stem Cells"
36430434,8.125469492420244,Significance of Antioxidants on Aging and Neurodegeneration.,29-11-2022,International journal of molecular sciences,Editorial,"The hallmark of aging is an organism's difficulty to maintain proper homeostasis, leading to a disrupted balance between the endogenous antioxidant system and the production of free radicals, a progressive inflammatory process, and increased susceptibility to (neurodegenerative diseases [...].","Antioxidants,Free Radicals",,,"Humans,Antioxidants,Free Radicals,Neurodegenerative Diseases,Homeostasis"
35850969,8.114624543191931,Pharmacological action of quercetin against testicular dysfunction: A mini review.,24-08-2022,Journal of integrative medicine,"Journal Article,Review","The testis is an immune-privileged organ susceptible to oxidative stress and inflammation, two major factors implicated in male infertility. A reduction in the concentration and activities of testicular function biomarkers has been shown to correlate with impaired hypothalamic-pituitary-testicular axis and oxidative stress. However, the use of natural products to ameliorate these oxidative stress-induced changes may be essential to improving male reproductive function. Quercetin possesses several pharmacological activities that may help to combat cellular reproduction-related assaults, such as altered sperm function and reproductive hormone dysfunction, and dysregulated testicular apoptosis, oxidative stress, and inflammation. Studies have shown that quercetin ameliorates testicular toxicity, largely by inhibiting the generation of reactive oxygen species, with the aid of the two antioxidant pharmacophores present in its ring structure. The radical-scavenging property of quercetin may alter signal transduction of oxidative stress-induced apoptosis, prevent inflammation, and increase sperm quality in relation to the hormonal concentration. In this review, the therapeutic potential of quercetin in mediating male reproductive health is discussed.","Antioxidants,Quercetin",,"Antioxidants,Apoptosis,Oxidative stress,Quercetin,Sperm,Testicular function","Antioxidants,Apoptosis,Humans,Inflammation,Lipid Peroxidation,Male,Oxidative Stress,Quercetin,Semen,Testis"
35984238,8.105215325439325,Lung Fibroblasts Support Metastasis through Immune Microenvironment Remodeling.,06-10-2022,Cancer discovery,Journal Article,COX-2+ lung fibroblasts reprogram myeloid cells to be immunosuppressive and support lung metastasis.,Cyclooxygenase 2,,,"Cancer-Associated Fibroblasts,Cyclooxygenase 2,Fibroblasts,Humans,Lung,Lung Neoplasms,Neoplasm Metastasis,Tumor Microenvironment"
35902031,8.1046215563157,Assessment of mitochondrial dysfunction and implications in cardiovascular disorders.,23-08-2022,Life sciences,"Journal Article,Review","{'sup': '2+', '#text': 'Mitochondria play a pivotal role in cellular function, not only acting as the powerhouse of the cell, but also regulating ATP synthesis, reactive oxygen species (ROS) production, intracellular Ca cycling, and apoptosis. During the past decade, extensive progress has been made in the technology to assess mitochondrial functions and accumulating evidences have shown that mitochondrial dysfunction is a key pathophysiological mechanism for many diseases including cardiovascular disorders, such as ischemic heart disease, cardiomyopathy, hypertension, atherosclerosis, and hemorrhagic shock. The advances in methodology have been accelerating our understanding of mitochondrial molecular structure and function, biogenesis and ROS and energy production, which facilitates new drug target identification and therapeutic strategy development for mitochondrial dysfunction-related disorders. This review will focus on the assessment of methodologies currently used for mitochondrial research and discuss their advantages, limitations and the implications of mitochondrial dysfunction in cardiovascular disorders.'}",Reactive Oxygen Species,,"Ca(2+) signaling,Mitochondrial dynamics,Mitochondrial dysfunction,Mitochondrial energy metabolism,Mitochondrial permeability transition pore,Oxidative stress","Apoptosis,Cardiovascular Diseases,Humans,Mitochondria,Mitochondrial Diseases,Oxidative Stress,Reactive Oxygen Species"
