Primary identifier,Name,Literature identifier,Study type,Endocrine-mediated endpoints,Endocrine mediated systems
CID:2347,Butyl benzyl phthalate,PMID:26520405,IVTH,Affects spermatogenesis,Reproductive endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:25016925,IVTH,Affects steroidogenesis,Reproductive endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:27513369,IVTH,Affects steroidogenesis,Reproductive endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:16641542,IVR,Affects testis development,Developmental endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:21771643,IVTH,Affects xenobiotic metabolism,Metabolic endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:21241498,IVR,Alterations in immune responses,Immunological endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:21241498,IVR,Alterations in immune responses,Immunological endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:16641542,IVR,Alterations in number of leydig cells,Reproductive endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:16641542,IVR,Alterations in preputial separation,Reproductive endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:21241498,IVR,Alterations in vaginal opening,Reproductive endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:26895396,IVR,Alterations in vaginal opening,Reproductive endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:29250801,IVR,Alters estrogen metabolism,Metabolic endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:18062813,IVR,Alters mammary gland development,Developmental endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:26747412,IVR,Alters sperm function,Reproductive endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:16641542,IVR,Atrophy in seminiferous tubules,Reproductive endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:11298497,IVTH,Cancer phenotype,Endocrine-mediated cancer
CID:2347,Butyl benzyl phthalate,PMID:15883486,IVTH,Cancer phenotype,Endocrine-mediated cancer
CID:2347,Butyl benzyl phthalate,PMID:21241498,IVR,Cancer phenotype,Endocrine-mediated cancer
CID:2347,Butyl benzyl phthalate,PMID:21241498,IVR,Cancer phenotype,Endocrine-mediated cancer
CID:2347,Butyl benzyl phthalate,PMID:25016925,IVTH,Cancer phenotype,Endocrine-mediated cancer
CID:2347,Butyl benzyl phthalate,PMID:16641542,IVR,Changes in epididymal morphology,Reproductive endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:26895396,IVR,Decreased estradiol levels,Reproductive endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:16641542,IVR,Decreased spleen weights in offspring,Developmental endocrine-mediated perturbations;Immunological endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:11099647,IVR,Decreased testis weights,Reproductive endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:27513369,IVTH,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:16641542,IVR,Decreased uterine weights,Reproductive endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:16641542,IVR,Decreased weights of epididymis,Reproductive endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:16641542,IVR,Decreased weights of epididymis in offspring,Developmental endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:16641542,IVR,Decreased weights of seminal vesicles in offspring,Developmental endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:29250801,IVR,Hyperplasia in liver,Hepatic endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:27513369,IVTH,Increase in estradiol/testosterone ratio,Reproductive endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:16641542,IVR,Increased liver weights,Hepatic endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:29250801,IVR,Increased liver weights,Hepatic endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:16641542,IVR,Increased liver weights in offspring,Developmental endocrine-mediated perturbations;Hepatic endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:26895396,IVR,Increased testosterone levels,Reproductive endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:18062813,IVR,Increased uterine weights,Reproductive endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:16641542,IVR,Increased weights of thyroid gland in offspring,Developmental endocrine-mediated perturbations;Metabolic endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:26747412,IVR,Induce apoptosis of spermatogenic cells,Reproductive endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:11099647,IVR,Nipple retention,Reproductive endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:18062813,IVR,Occurrence of mammary gland tumor,Endocrine-mediated cancer;Reproductive endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:21241498,IVR,Occurrence of mammary gland tumor,Endocrine-mediated cancer;Reproductive endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:26520405,IVTH,Oxidative stress in liver,Hepatic endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:16641542,IVR,Reduced sperm counts,Reproductive endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:16641542,IVR,Reduced sperm counts,Reproductive endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:16641542,IVR,Reduced sperm counts,Reproductive endocrine-mediated perturbations
CID:2347,Butyl benzyl phthalate,PMID:11099647,IVR,Undescended testes (or cryptorchidism),Developmental endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:2361,beta-Naphthoflavone,PMID:15150316,IVR,Affects liver function,Hepatic endocrine-mediated perturbations
CID:2361,beta-Naphthoflavone,PMID:15150316,IVR,Affects xenobiotic metabolism,Metabolic endocrine-mediated perturbations
CID:23668193,Sodium nitrite,PMID:3352650,IVR,Abnormal sperm morphology,Reproductive endocrine-mediated perturbations
CID:23668193,Sodium nitrite,PMID:3352650,IVR,Abnormal sperm morphology,Reproductive endocrine-mediated perturbations
CID:23668193,Sodium nitrite,PMID:3352650,IVR,Affects fertility,Reproductive endocrine-mediated perturbations
CID:23668193,Sodium nitrite,PMID:2807101,IVR,Changes in haemocrit values,Immunological endocrine-mediated perturbations
CID:23668193,Sodium nitrite,PMID:2807101,IVR,Changes in haemocrit values,Immunological endocrine-mediated perturbations
CID:23668193,Sodium nitrite,PMID:9207897,IVR,Decrease in corticosterone levels,Neurological endocrine-mediated perturbations
CID:23668193,Sodium nitrite,PMID:9207897,IVR,Decreased aldosterone levels,Metabolic endocrine-mediated perturbations
CID:23668193,Sodium nitrite,PMID:9207897,IVR,No significant effects observed,-
CID:23668193,Sodium nitrite,PMID:2807101,IVR,Testicular carcinoma,Endocrine-mediated cancer;Reproductive endocrine-mediated perturbations
CID:23668193,Sodium nitrite,PMID:2807101,IVR,Testicular carcinoma,Endocrine-mediated cancer;Reproductive endocrine-mediated perturbations
CID:23668195,Sodium bromate,PMID:18784759,IVR,Alterations in immune responses,Immunological endocrine-mediated perturbations
CID:23668195,Sodium bromate,PMID:18784759,IVR,Alterations in immune responses,Immunological endocrine-mediated perturbations
CID:23668195,Sodium bromate,PMID:18784759,IVR,Alterations in immune responses,Immunological endocrine-mediated perturbations
CID:23668195,Sodium bromate,PMID:18784759,IVR,Changes in morphology of pituitary gland,Metabolic endocrine-mediated perturbations
CID:23668195,Sodium bromate,PMID:18784759,IVR,Changes in morphology of pituitary gland,Metabolic endocrine-mediated perturbations
CID:23668195,Sodium bromate,PMID:18784759,IVR,Changes in morphology of pituitary gland,Metabolic endocrine-mediated perturbations
CID:23668195,Sodium bromate,PMID:18784759,IVR,Changes in morphology of thyroid gland,Metabolic endocrine-mediated perturbations
CID:23668195,Sodium bromate,PMID:18784759,IVR,Changes in morphology of thyroid gland,Metabolic endocrine-mediated perturbations
CID:23668195,Sodium bromate,PMID:18784759,IVR,Changes in morphology of thyroid gland,Metabolic endocrine-mediated perturbations
CID:23668195,Sodium bromate,PMID:18784759,IVR,Changes in testicular morphology,Reproductive endocrine-mediated perturbations
CID:23668195,Sodium bromate,PMID:18784759,IVR,Decreased testis weights,Reproductive endocrine-mediated perturbations
CID:23668195,Sodium bromate,PMID:18784759,IVR,Decreased testis weights,Reproductive endocrine-mediated perturbations
CID:23668195,Sodium bromate,PMID:18784759,IVR,Hematopietic carcinoma,Endocrine-mediated cancer;Immunological endocrine-mediated perturbations
CID:23668195,Sodium bromate,PMID:18784759,IVR,Hematopietic carcinoma,Endocrine-mediated cancer;Immunological endocrine-mediated perturbations
CID:23668195,Sodium bromate,PMID:18784759,IVR,Hypertrophy in thyroid gland,Metabolic endocrine-mediated perturbations
CID:23668195,Sodium bromate,PMID:18784759,IVR,Hypertrophy in thyroid gland,Metabolic endocrine-mediated perturbations
CID:23668195,Sodium bromate,PMID:18784759,IVR,Hypertrophy in thyroid gland,Metabolic endocrine-mediated perturbations
CID:23668195,Sodium bromate,PMID:18784759,IVR,Hypertrophy in thyroid gland,Metabolic endocrine-mediated perturbations
CID:23668195,Sodium bromate,PMID:18784759,IVR,Hypertrophy in thyroid gland,Metabolic endocrine-mediated perturbations
CID:23668195,Sodium bromate,PMID:18784759,IVR,Hypertrophy in thyroid gland,Metabolic endocrine-mediated perturbations
CID:23668195,Sodium bromate,PMID:18784759,IVR,No significant effects observed,-
CID:23668195,Sodium bromate,PMID:18784759,IVR,No significant effects observed,-
CID:23668195,Sodium bromate,PMID:18784759,IVR,No significant effects observed,-
CID:23668195,Sodium bromate,PMID:18784759,IVR,No significant effects observed,-
CID:23668195,Sodium bromate,PMID:18784759,IVR,No significant effects observed,-
CID:23668195,Sodium bromate,PMID:18784759,IVR,No significant effects observed,-
CID:23668195,Sodium bromate,PMID:18784759,IVR,No significant effects observed,-
CID:23668195,Sodium bromate,PMID:18784759,IVR,No significant effects observed,-
CID:23668195,Sodium bromate,PMID:18784759,IVR,No significant effects observed,-
CID:23668195,Sodium bromate,PMID:18784759,IVR,No significant effects observed,-
CID:23668195,Sodium bromate,PMID:18784759,IVR,No significant effects observed,-
CID:23668195,Sodium bromate,PMID:18784759,IVR,No significant effects observed,-
CID:23668197,Sodium chlorite,PMID:3803340,IVR,Abnormal sperm morphology,Reproductive endocrine-mediated perturbations
CID:23668197,Sodium chlorite,PMID:3803340,IVR,Abnormal sperm morphology,Reproductive endocrine-mediated perturbations
CID:23668197,Sodium chlorite,PMID:7151764,IVR,Affects litter size,Reproductive endocrine-mediated perturbations
CID:23668197,Sodium chlorite,PMID:7151764,IVR,Affects litter size,Reproductive endocrine-mediated perturbations
CID:23668197,Sodium chlorite,PMID:7151764,IVR,Affects litter size,Reproductive endocrine-mediated perturbations
CID:23668197,Sodium chlorite,PMID:3803340,IVR,Affects sperm motility,Reproductive endocrine-mediated perturbations
CID:23668197,Sodium chlorite,PMID:3803340,IVR,Affects sperm motility,Reproductive endocrine-mediated perturbations
CID:23668197,Sodium chlorite,PMID:7151764,IVR,Alteration in vaginal morphology,Reproductive endocrine-mediated perturbations
CID:23668197,Sodium chlorite,PMID:7151764,IVR,Alteration in vaginal morphology,Reproductive endocrine-mediated perturbations
CID:23668197,Sodium chlorite,PMID:7151764,IVR,Alteration in vaginal morphology,Reproductive endocrine-mediated perturbations
CID:23668197,Sodium chlorite,PMID:7151764,IVR,Causes vaginal bleeding,Reproductive endocrine-mediated perturbations
CID:23668197,Sodium chlorite,PMID:7151764,IVR,Causes vaginal bleeding,Reproductive endocrine-mediated perturbations
CID:23668197,Sodium chlorite,PMID:7151764,IVR,Causes vaginal bleeding,Reproductive endocrine-mediated perturbations
CID:23668197,Sodium chlorite,PMID:7151764,IVR,Changes in haemocrit values,Immunological endocrine-mediated perturbations
CID:23668197,Sodium chlorite,PMID:3803340,IVR,Decrease in T3 levels,Metabolic endocrine-mediated perturbations
CID:23668197,Sodium chlorite,PMID:3803340,IVR,Decrease in T3 levels,Metabolic endocrine-mediated perturbations
CID:23668197,Sodium chlorite,PMID:3803340,IVR,Decrease in T4 levels,Metabolic endocrine-mediated perturbations
CID:23668197,Sodium chlorite,PMID:3803340,IVR,Decrease in T4 levels,Metabolic endocrine-mediated perturbations
CID:23668197,Sodium chlorite,PMID:3803340,IVR,No significant effects observed,-
CID:23668197,Sodium chlorite,PMID:3803340,IVR,No significant effects observed,-
CID:23668197,Sodium chlorite,PMID:7151764,IVR,No significant effects observed,-
CID:23668197,Sodium chlorite,PMID:7151764,IVR,No significant effects observed,-
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25171141,IVR,Affects sexual behavior,Neurological endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25171141,IVR,Affects sexual behavior,Neurological endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25171141,IVR,Affects sexual behavior,Neurological endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25171141,IVR,Affects sexual behavior,Neurological endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25623392,IVR,Affects sexual behavior,Neurological endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25623392,IVR,Affects sexual behavior,Neurological endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25623392,IVR,Affects sexual behavior,Neurological endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25623392,IVR,Affects sexual behavior,Neurological endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:18252804,IVR,Alterations in thymocytes population,Immunological endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:24440345,IVR,Alters hypothalamic-pituitary-adrenal (HPA) axis,Metabolic endocrine-mediated perturbations;Neurological endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:24440345,IVR,Alters hypothalamic-pituitary-adrenal (HPA) axis,Metabolic endocrine-mediated perturbations;Neurological endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:24440345,IVR,Alters hypothalamic-pituitary-adrenal (HPA) axis,Metabolic endocrine-mediated perturbations;Neurological endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:24440345,IVR,Alters hypothalamic-pituitary-adrenal (HPA) axis,Metabolic endocrine-mediated perturbations;Neurological endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:29063134,IVTH,Cancer phenotype,Endocrine-mediated cancer
CID:23669238,Potassium perfluorooctanesulfonate,PMID:18252804,IVR,Changes in B-cell populations,Immunological endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:18252804,IVR,Changes in haemocrit values,Immunological endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:18252804,IVR,Changes in white blood cell (WBC) populations,Immunological endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:18252804,IVR,Changes in white blood cell (WBC) populations,Immunological endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25623392,IVR,Decreased 5-HIAA/serotonin (5-HT) ratio,Neurological endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25623392,IVR,Decreased 5-HIAA/serotonin (5-HT) ratio,Neurological endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25623392,IVR,Decreased 5-HIAA/serotonin (5-HT) ratio,Neurological endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25623392,IVR,Decreased 5-HIAA/serotonin (5-HT) ratio,Neurological endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:26032630,IVR,Decreased dopamine levels,Neurological endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:26032630,IVR,Decreased dopamine levels,Neurological endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25623392,IVR,Decreased estradiol levels,Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25623392,IVR,Decreased estradiol levels,Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25623392,IVR,Decreased estradiol levels,Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25623392,IVR,Decreased estradiol levels,Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:26032630,IVR,Decreased estradiol levels,Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:26032630,IVR,Decreased estradiol levels,Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:26032630,IVR,Decreased estrone levels,Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:26032630,IVR,Decreased estrone levels,Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:24440345,IVR,Decreased levels of adrenocortical hormones (ACTH),Metabolic endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:24440345,IVR,Decreased levels of adrenocortical hormones (ACTH),Metabolic endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:24440345,IVR,Decreased levels of adrenocortical hormones (ACTH),Metabolic endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:24440345,IVR,Decreased levels of adrenocortical hormones (ACTH),Metabolic endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:24440345,IVR,Decreased levels of Corticotropin-releasing hormone (CRH),Neurological endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:24440345,IVR,Decreased levels of Corticotropin-releasing hormone (CRH),Neurological endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25171141,IVR,Decreased LH levels,Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25171141,IVR,Decreased LH levels,Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25171141,IVR,Decreased LH levels,Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25171141,IVR,Decreased LH levels,Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25623392,IVR,Decreased LH levels,Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25623392,IVR,Decreased LH levels,Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25623392,IVR,Decreased LH levels,Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25623392,IVR,Decreased LH levels,Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:18252804,IVR,Decreased liver weights,Hepatic endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25171141,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25171141,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25171141,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25171141,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25623392,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25623392,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25623392,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25623392,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25171141,IVR,Increased FSH levels,Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25171141,IVR,Increased FSH levels,Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25171141,IVR,Increased FSH levels,Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25171141,IVR,Increased FSH levels,Reproductive endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:18252804,IVR,Increased liver weights,Hepatic endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25171141,IVR,Increased noradrenaline levels,Neurological endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25171141,IVR,Increased noradrenaline levels,Neurological endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25171141,IVR,Increased noradrenaline levels,Neurological endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25171141,IVR,Increased noradrenaline levels,Neurological endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25623392,IVR,Increased serotonin (5-HT) levels,Neurological endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25623392,IVR,Increased serotonin (5-HT) levels,Neurological endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25623392,IVR,Increased serotonin (5-HT) levels,Neurological endocrine-mediated perturbations
CID:23669238,Potassium perfluorooctanesulfonate,PMID:25623392,IVR,Increased serotonin (5-HT) levels,Neurological endocrine-mediated perturbations
CID:23672308,Monosodium glutamate,PMID:6122172,IVR,Affects acetylcholinesterase activity,Neurological endocrine-mediated perturbations
CID:23672308,Monosodium glutamate,PMID:7920900,IVR,Affects developmental process,Developmental endocrine-mediated perturbations
CID:23672308,Monosodium glutamate,PMID:6122172,IVR,Affects GABA-receptors,Neurological endocrine-mediated perturbations
CID:23672308,Monosodium glutamate,PMID:6122172,IVR,Affects neuronal signaling,Neurological endocrine-mediated perturbations
CID:23672308,Monosodium glutamate,PMID:24893633,IVR,Affects spermatogenesis,Reproductive endocrine-mediated perturbations
CID:23672308,Monosodium glutamate,PMID:24893633,IVR,Affects spermatogenesis,Reproductive endocrine-mediated perturbations
CID:23672308,Monosodium glutamate,PMID:24893633,IVR,Affects testicular morphology,Reproductive endocrine-mediated perturbations
CID:23672308,Monosodium glutamate,PMID:24893633,IVR,Affects testicular morphology,Reproductive endocrine-mediated perturbations
CID:23672308,Monosodium glutamate,PMID:6122172,IVR,Decreased dopamine levels,Neurological endocrine-mediated perturbations
CID:23672308,Monosodium glutamate,PMID:6433129,IVR,Decreased LH levels,Reproductive endocrine-mediated perturbations
CID:23672308,Monosodium glutamate,PMID:24893633,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:23672308,Monosodium glutamate,PMID:24893633,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:23672308,Monosodium glutamate,PMID:24893633,IVR,Decreased weights of epididymis,Reproductive endocrine-mediated perturbations
CID:23672308,Monosodium glutamate,PMID:7920900,IVR,Elevated insulin levels,Metabolic endocrine-mediated perturbations
CID:23672308,Monosodium glutamate,PMID:6433129,IVR,Increased thymus gland weights,Immunological endocrine-mediated perturbations
CID:23672308,Monosodium glutamate,PMID:24893633,IVR,No significant effects observed,-
CID:23672308,Monosodium glutamate,PMID:24893633,IVR,Reduced sperm counts,Reproductive endocrine-mediated perturbations
CID:23690444,Sodium thioglycolate,PMID:18308839,IVR,Decreased LH levels,Reproductive endocrine-mediated perturbations
CID:23690444,Sodium thioglycolate,PMID:18308839,IVR,Decreased LH levels,Reproductive endocrine-mediated perturbations
CID:23690444,Sodium thioglycolate,PMID:18308839,IVR,Decreased LH levels,Reproductive endocrine-mediated perturbations
CID:23690444,Sodium thioglycolate,PMID:18308839,IVR,Elevated glucose levels,Metabolic endocrine-mediated perturbations
CID:23690444,Sodium thioglycolate,PMID:18308839,IVR,Increased levels of norepinephrine,Neurological endocrine-mediated perturbations
CID:23930,Manganese,PMID:16705042,IVR,Affects GABA-receptors,Neurological endocrine-mediated perturbations
CID:23930,Manganese,PMID:16705042,IVR,Affects neural development,Developmental endocrine-mediated perturbations;Neurological endocrine-mediated perturbations
CID:23930,Manganese,PMID:16705042,IVR,Affects social behavior,Neurological endocrine-mediated perturbations
CID:23930,Manganese,PMID:15746010,IVR,Increased estradiol levels,Reproductive endocrine-mediated perturbations
CID:23930,Manganese,PMID:15746010,IVR,Increased FSH levels,Reproductive endocrine-mediated perturbations
CID:23930,Manganese,PMID:15746010,IVR,Increased LH levels,Reproductive endocrine-mediated perturbations
CID:23930,Manganese,PMID:15746010,IVR,Increased LH levels,Reproductive endocrine-mediated perturbations
CID:23930,Manganese,PMID:15746010,IVR,Increased LH levels,Reproductive endocrine-mediated perturbations
CID:23930,Manganese,PMID:15746010,IVR,Increased LH levels,Reproductive endocrine-mediated perturbations
CID:23930,Manganese,PMID:15746010,IVR,No significant effects observed,-
CID:23938,Palladium,PMID:29405765,IVR,Decreased estradiol levels,Reproductive endocrine-mediated perturbations
CID:23938,Palladium,PMID:29405765,IVR,Decreased estradiol levels,Reproductive endocrine-mediated perturbations
CID:23938,Palladium,PMID:29405765,IVR,Decreased LH levels,Reproductive endocrine-mediated perturbations
CID:23938,Palladium,PMID:29405765,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:23938,Palladium,PMID:29405765,IVR,Increased LH levels,Reproductive endocrine-mediated perturbations
CID:23938,Palladium,PMID:29405765,IVR,No significant effects observed,-
CID:23973,Cadmium,PMID:4082073,IVR,Abnormal development of gonads in offspring,Developmental endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:23973,Cadmium,PMID:15894438,IVR,Abnormal estrous cycles,Reproductive endocrine-mediated perturbations
CID:23973,Cadmium,PMID:18571719,IVTH,Affects embryonic development,Developmental endocrine-mediated perturbations
CID:23973,Cadmium,PMID:21287658,IVR,Affects expression of androgen receptor (AR),Reproductive endocrine-mediated perturbations
CID:23973,Cadmium,PMID:23858299,IVR,Affects expression of androgen receptor (AR),Reproductive endocrine-mediated perturbations
CID:23973,Cadmium,PMID:23858299,IVR,Affects expression of androgen receptor (AR),Reproductive endocrine-mediated perturbations
CID:23973,Cadmium,PMID:8207012,IVTH,Affects expression of estrogen receptor (ER),Reproductive endocrine-mediated perturbations
CID:23973,Cadmium,PMID:23858299,IVR,Affects expression of estrogen receptor-alpha (ER-alpha),Reproductive endocrine-mediated perturbations
CID:23973,Cadmium,PMID:8207012,IVTH,Affects expression of progesterone receptor (PR),Reproductive endocrine-mediated perturbations
CID:23973,Cadmium,PMID:4082073,IVR,Affects germ cell differentiation,Developmental endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:23973,Cadmium,PMID:17123754,IVR,Affects glucose metabolism,Metabolic endocrine-mediated perturbations
